Country Code,Country Name,GDP Per Capita (USD thousands)
PRT,Portugal,23478
ARG,Argentina,11688
DNK,Denmark,61834
BWA,Botswana,8258
SMR,San Marino,48473
ZAF,South Africa,6369
CRI,Costa Rica,12027
AND,Andorra,42052
NGA,Nigeria,2154
PHL,Philippines,3103
MYS,Malaysia,11373
SUR,Suriname,6004
VNM,Vietnam,2563
ISL,Iceland,76867
KNA,Saint Kitts and Nevis,19275
TJK,Tajikistan,827
KEN,Kenya,1710
BFA,Burkina Faso,820
SLV,El Salvador,4058
NCL,New Caledonia,36335
GBR,United Kingdom of Great Britain and Northern Ireland (the),42526
POL,Poland,15444
RUS,Russia,11394
LUX,Luxembourg,117370
LVA,Latvia,17852
AGO,Angola,3437
HUN,Hungary,16264
GIB,Gibraltar,98321
MDV,Maldives,10331
SEN,Senegal,1502
ARM,Armenia,4212
UGA,Uganda,704
PLW,Palau,15859
UZB,Uzbekistan,1555
ETH,Ethiopia,735
NIC,Nicaragua,2029
LIE,Liechtenstein,179258
LBY,Libya,5147
DMA,Dominica,7691
KIR,Kiribati,1627
USA,United States,62918
DEU,Germany,47514
SWE,Sweden,55767
SVN,Slovenia,26005
PRI,Puerto Rico,33271
ISR,Israel,44215
ARE,United Arab Emirates,43005
URY,Uruguay,17278
VEN,Venezuela (Bolivarian Republic of),7212
SYC,Seychelles,16378
JPN,Japan,39082
BGR,Bulgaria,9388
QAT,Qatar,68794
NPL,Nepal,991
IRQ,Iraq,5523
BEN,Benin,907
GNB,Guinea-Bissau,778
MLI,Mali,900
PYF,French Polynesia,21968
SDN,Sudan,1208
ESP,Spain,30406
BEL,Belgium,47293
AUS,Australia,58393
ALB,Albania,5224
SRB,Serbia,7209
CYM,Caymen,85474
TUN,Tunisia,3450
JEY,Jersey,0
SVK,Slovakia,19431
AZE,Azerbaijan,4718
LKA,Sri Lanka,4190
CIV,C̫te d'Ivoire,1716
EGY,Egypt,2538
BHS,Bahamas,32218
HND,Honduras,2500
VGB,Virgin Islands (British),48511
MNE,Montenegro,8772
NAM,Namibia,5930
GUY,Guyana,4901
ATF,French Southern Territories (the),21968
IRL,Ireland,79415
CHE,Switzerland,82709
EST,Estonia,23242
IND,India,2055
CHL,Chile,15923
ZMB,Zambia,1572
JAM,Jamaica,5354
CAF,Central African Republic (the),481
FJI,Fiji,6267
BHR,Bahrain,24134
CUB,Cuba,8822
JOR,Jordan,4238
PER,Peru,6947
MAC,Macao,87209
RWA,Rwanda,773
TZA,Tanzania,1000
UMI,United States Minor Outlying Islands (the),46381
BOL,Bolivia (Plurinational State of),3549
LCA,Saint Lucia,10566
SLE,Sierra Leone,536
FRA,France,41358
CN,China,9771
CZE,Czechia,22992
AUT,Austria,51230
CPV,Cabo Verde,3635
HRV,Croatia,14674
CYP,Cyprus,28968
KAZ,Kazakhstan,9790
NZL,New Zealand,43836
CMR,Cameroon,1534
SYR,Syrian Arab Republic,981
MLT,Malta,33123
TGO,Togo,655
KHM,Cambodia,1512
GAB,Gabon,8019
MYT,Mayotte,3550
PRY,Paraguay,5795
ATA,Antarctica,0
LAO,Lao People's Democratic Republic (the),2542
GRC,Greece,20731
BRA,Brazil,8921
MEX,Mexico,9695
BLR,Belarus,6312
ZWE,Zimbabwe,1684
HKG,Hong Kong,49199
COL,Colombia,6650
PAK,Pakistan,1330
THA,Thailand,7274
BIH,Bosnia and Herzegovina,5951
SGP,Singapore,62721
MWI,Malawi,397
TWN,Taiwan,24828
MCO,Monaco,185835
GHA,Ghana,2202
FRO,Faroe Islands (the),55823
BRB,Barbados,17746
GTM,Guatemala,4549
ROU,Romania,12281
ITA,Italy,34389
FIN,Finland,50136
MAR,Morocco,3273
LTU,Lithuania,19083
DZA,Algeria,4115
IRN,Iran,5783
GGY,Guernsey,52500
IDN,Indonesia,3893
DOM,Dominican Republic (the),7650
MUS,Mauritius,11222
BDI,Burundi,294
ECU,Ecuador,6345
DJI,Djibouti,3049
BGD,Bangladesh,1671
TMP,East Timor,2036
MMR,Myanmar,1354
ABW,Aruba,30262
ASM,American Samoa,4250
NOR,Norway,81336
NLD,Netherlands (the),53583
MOZ,Mozambique,499
UKR,Ukraine,2957
TUR,Turkey,9368
KOR,Korea (the Republic of),33622
GEO,Georgia,4397
KWT,Kuwait,34249
LBN,Lebanon,8224
MKD,Republic of North Macedonia,6063
COM,Comoros (the),1401
SAU,Saudi Arabia,23217
MDG,Madagascar,527
STP,Sao Tome and Principe,1948
IMN,Isle of Man,80989
GLP,Guadeloupe,25479
PAN,Panama,15575
AIA,Anguilla,19891
MRT,Mauritania,1730
OMN,Oman,19073